"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit,rn
2718,CA-2011-100006,2011-09-07,2011-09-13,"Standard Class",DK-13375,"dennis kane",Consumer,"United States","New York City","New York",10024,East,TEC-PH-10002075,Technology,Phones,"AT&T EL51110 DECT",377.97,3,0,109.6113,1
6288,CA-2011-100090,2011-07-08,2011-07-12,"Standard Class",EB-13705,"ed braxton",Corporate,"United States","San Francisco",California,94122,West,FUR-TA-10003715,Furniture,Tables,"Hon 2111 Invitation Series Corner Table",502.488,3,0.2,-87.9354,1
9515,CA-2011-100293,2011-03-14,2011-03-18,"Standard Class",NF-18475,"neil französisch","Home Office","United States",Jacksonville,Florida,32216,South,OFF-PA-10000176,"Office Supplies",Paper,"Xerox 1887",91.056,6,0.2,31.8696,1
3836,CA-2011-100363,2011-04-08,2011-04-15,"Standard Class",JM-15655,"jim mitchum",Corporate,"United States",Glendale,Arizona,85301,West,OFF-FA-10000611,"Office Supplies",Fasteners,"Binder Clips by OIC",2.368,2,0.2,0.8288,1
3837,CA-2011-100363,2011-04-08,2011-04-15,"Standard Class",JM-15655,"jim mitchum",Corporate,"United States",Glendale,Arizona,85301,West,OFF-PA-10004733,"Office Supplies",Paper,"Things To Do Today Spiral Book",19.008,3,0.2,6.8904,1
9441,CA-2011-100391,2011-05-25,2011-05-29,"Standard Class",BW-11065,"barry weirich",Consumer,"United States","New York City","New York",10035,East,OFF-PA-10001471,"Office Supplies",Paper,"Strathmore Photo Frame Cards",14.62,2,0,6.7252,1
6570,CA-2011-100678,2011-04-18,2011-04-22,"Standard Class",KM-16720,"kunst miller",Consumer,"United States",Houston,Texas,77095,Central,FUR-CH-10002602,Furniture,Chairs,"DMI Arturo Collection Mission-style Design Wood Chair",317.058,3,0.3,-18.1176,1
6569,CA-2011-100678,2011-04-18,2011-04-22,"Standard Class",KM-16720,"kunst miller",Consumer,"United States",Houston,Texas,77095,Central,OFF-AR-10001868,"Office Supplies",Art,"Prang Dustless Chalk Sticks",2.688,2,0.2,1.008,1
6571,CA-2011-100678,2011-04-18,2011-04-22,"Standard Class",KM-16720,"kunst miller",Consumer,"United States",Houston,Texas,77095,Central,OFF-EN-10000056,"Office Supplies",Envelopes,"Cameo Buff Policy Envelopes",149.352,3,0.2,50.4063,1
6572,CA-2011-100678,2011-04-18,2011-04-22,"Standard Class",KM-16720,"kunst miller",Consumer,"United States",Houston,Texas,77095,Central,TEC-AC-10000474,Technology,Accessories,"Kensington Expert Mouse Optical USB Trackball for PC or Mac",227.976,3,0.2,28.497,1
9021,CA-2011-100706,2011-12-16,2011-12-18,"Second Class",LE-16810,"laurel elliston",Consumer,"United States",Springfield,Virginia,22153,South,FUR-FU-10002268,Furniture,Furnishings,"Ultra Door Push Plate",29.46,6,0,9.7218,1
9020,CA-2011-100706,2011-12-16,2011-12-18,"Second Class",LE-16810,"laurel elliston",Consumer,"United States",Springfield,Virginia,22153,South,TEC-AC-10001314,Technology,Accessories,"Case Logic 2.4GHz Wireless Keyboard",99.98,2,0,7.9984,1
6315,CA-2011-100762,2011-11-24,2011-11-29,"Standard Class",NG-18355,"nat gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-AR-10000380,"Office Supplies",Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",151.92,4,0,45.576,1
6316,CA-2011-100762,2011-11-24,2011-11-29,"Standard Class",NG-18355,"nat gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-LA-10003930,"Office Supplies",Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",196.62,2,0,96.3438,1
6317,CA-2011-100762,2011-11-24,2011-11-29,"Standard Class",NG-18355,"nat gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-PA-10001815,"Office Supplies",Paper,"Xerox 1885",144.12,3,0,69.1776,1
6318,CA-2011-100762,2011-11-24,2011-11-29,"Standard Class",NG-18355,"nat gilpin",Corporate,"United States",Jackson,Michigan,49201,Central,OFF-PA-10004082,"Office Supplies",Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",15.96,2,0,7.98,1
9660,CA-2011-100860,2011-03-26,2011-03-30,"Second Class",CS-12505,"cindy stewart",Consumer,"United States",Pomona,California,91767,West,OFF-LA-10001982,"Office Supplies",Labels,"Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set",18.75,5,0,9,1
9462,CA-2011-100867,2011-10-19,2011-10-24,"Standard Class",EH-14125,"eugene hildebrand","Home Office","United States",Lakewood,California,90712,West,TEC-PH-10004922,Technology,Phones,"RCA Visys Integrated PBX 8-Line Router",321.552,6,0.2,20.097,1
8464,CA-2011-100881,2011-03-28,2011-04-01,"Standard Class",DR-12940,"daniel raglin","Home Office","United States",Albuquerque,"New Mexico",87105,West,TEC-PH-10003273,Technology,Phones,"AT&T TR1909W",302.376,3,0.2,22.6782,1
3888,CA-2011-100895,2011-06-02,2011-06-06,"Standard Class",SV-20785,"stewart visinsky",Consumer,"United States",Roswell,Georgia,30076,South,OFF-AR-10004511,"Office Supplies",Art,"Sanford Colorific Scented Colored Pencils, 12/Pack",8.56,2,0,2.6536,1
3890,CA-2011-100895,2011-06-02,2011-06-06,"Standard Class",SV-20785,"stewart visinsky",Consumer,"United States",Roswell,Georgia,30076,South,OFF-ST-10001490,"Office Supplies",Storage,"Hot File 7-Pocket, Floor Stand",356.94,2,0,107.082,1
3889,CA-2011-100895,2011-06-02,2011-06-06,"Standard Class",SV-20785,"stewart visinsky",Consumer,"United States",Roswell,Georgia,30076,South,TEC-PH-10001425,Technology,Phones,"Mophie Juice Pack Helium for iPhone",239.97,3,0,67.1916,1
7573,CA-2011-100916,2011-10-21,2011-10-26,"Standard Class",FH-14275,"frank hawley",Corporate,"United States","Newport News",Virginia,23602,South,FUR-TA-10004607,Furniture,Tables,"Hon 2111 Invitation Series Straight Table",591.32,4,0,112.3508,1
7574,CA-2011-100916,2011-10-21,2011-10-26,"Standard Class",FH-14275,"frank hawley",Corporate,"United States","Newport News",Virginia,23602,South,OFF-AR-10001022,"Office Supplies",Art,"SANFORD Liquid Accent Tank-Style Highlighters",2.84,1,0,0.8804,1
7572,CA-2011-100916,2011-10-21,2011-10-26,"Standard Class",FH-14275,"frank hawley",Corporate,"United States","Newport News",Virginia,23602,South,OFF-ST-10003479,"Office Supplies",Storage,"Eldon Base for stackable storage shelf, platinum",194.7,5,0,9.735,1
7868,CA-2011-100972,2011-11-19,2011-11-24,"Second Class",DB-13360,"dennis bolton","Home Office","United States","Salt Lake City",Utah,84106,West,OFF-PA-10000357,"Office Supplies",Paper,"Xerox 1888",166.44,3,0,79.8912,1
6252,CA-2011-101147,2011-12-02,2011-12-04,"First Class",MC-17575,"matt collins",Consumer,"United States",Chicago,Illinois,60623,Central,OFF-AP-10004249,"Office Supplies",Appliances,Staples,2.394,1,0.8,-6.3441,1
4565,CA-2011-101175,2011-12-09,2011-12-14,"Standard Class",DM-12955,"dario medina",Corporate,"United States",Mesa,Arizona,85204,West,OFF-ST-10004950,"Office Supplies",Storage,"Acco Perma 3000 Stacking Storage Drawers",100.704,6,0.2,-1.2588,1
6170,CA-2011-101266,2011-08-27,2011-08-30,"Second Class",MM-17920,"michael moore",Consumer,"United States",Springfield,Virginia,22153,South,OFF-PA-10002986,"Office Supplies",Paper,"Xerox 1898",13.36,2,0,6.4128,1
9724,CA-2011-101364,2011-12-22,2011-12-26,"Standard Class",TW-21025,"tamara willingham","Home Office","United States","New York City","New York",10011,East,OFF-BI-10003984,"Office Supplies",Binders,"Lock-Up Easel 'Spel-Binder'",296.712,13,0.2,100.1403,1
8091,CA-2011-101392,2011-12-07,2011-12-13,"Standard Class",AS-10630,"ann steele","Home Office","United States",Seattle,Washington,98103,West,OFF-ST-10000532,"Office Supplies",Storage,"Advantus Rolling Drawer Organizers",269.36,7,0,70.0336,1
8690,CA-2011-101427,2011-12-26,2011-12-30,"Standard Class",AY-10555,"andy yotov",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,OFF-AR-10002257,"Office Supplies",Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",8.016,3,0.2,1.1022,1
6850,CA-2011-101462,2011-04-20,2011-04-25,"Standard Class",BP-11230,"benjamin patterson",Consumer,"United States","Los Angeles",California,90045,West,FUR-FU-10000409,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",59.92,4,0,27.5632,1
428,CA-2011-101476,2011-09-12,2011-09-13,"First Class",SD-20485,"shirley daniels","Home Office","United States","New Rochelle","New York",10801,East,TEC-MA-10000029,Technology,Machines,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",69.99,1,0,30.0957,1
